"","...1","source2","period","Topic","ETP"
"1",1,"CN & HK Outlets","One Month Ahead","T01",16.8
"2",2,"China Times News","One Month Ahead","T01",15.04
"3",3,"Jornal San Wa Ou","One Month Ahead","T01",62.18
"4",4,"United Daily News","One Month Ahead","T01",16.69
"5",5,"Liberty Times","One Month Ahead","T01",18.69
"6",6,"CN & HK Outlets","Two Month Ahead","T01",35.84
"7",7,"China Times News","Two Month Ahead","T01",19.15
"8",8,"Jornal San Wa Ou","Two Month Ahead","T01",73.11
"9",9,"United Daily News","Two Month Ahead","T01",35.76
"10",10,"Liberty Times","Two Month Ahead","T01",29.68
"11",11,"CN & HK Outlets","One Month Ahead","T02",6.21
"12",12,"China Times News","One Month Ahead","T02",18.91
"13",13,"Jornal San Wa Ou","One Month Ahead","T02",2.76
"14",14,"United Daily News","One Month Ahead","T02",20.48
"15",15,"Liberty Times","One Month Ahead","T02",40.5
"16",16,"CN & HK Outlets","Two Month Ahead","T02",12.9
"17",17,"China Times News","Two Month Ahead","T02",23.06
"18",18,"Jornal San Wa Ou","Two Month Ahead","T02",7.08
"19",19,"United Daily News","Two Month Ahead","T02",19.94
"20",20,"Liberty Times","Two Month Ahead","T02",36.61
"21",21,"CN & HK Outlets","One Month Ahead","T03",68.01
"22",22,"China Times News","One Month Ahead","T03",41.09
"23",23,"Jornal San Wa Ou","One Month Ahead","T03",24.12
"24",24,"United Daily News","One Month Ahead","T03",38.63
"25",25,"Liberty Times","One Month Ahead","T03",2.84
"26",26,"CN & HK Outlets","Two Month Ahead","T03",44.54
"27",27,"China Times News","Two Month Ahead","T03",34.12
"28",28,"Jornal San Wa Ou","Two Month Ahead","T03",14.26
"29",29,"United Daily News","Two Month Ahead","T03",23.44
"30",30,"Liberty Times","Two Month Ahead","T03",2.46
"31",31,"CN & HK Outlets","One Month Ahead","T04",8.98
"32",32,"China Times News","One Month Ahead","T04",24.96
"33",33,"Jornal San Wa Ou","One Month Ahead","T04",10.94
"34",34,"United Daily News","One Month Ahead","T04",24.19
"35",35,"Liberty Times","One Month Ahead","T04",37.97
"36",36,"CN & HK Outlets","Two Month Ahead","T04",6.71
"37",37,"China Times News","Two Month Ahead","T04",23.66
"38",38,"Jornal San Wa Ou","Two Month Ahead","T04",5.55
"39",39,"United Daily News","Two Month Ahead","T04",20.86
"40",40,"Liberty Times","Two Month Ahead","T04",31.25
